rank,gid,request,reason,priority_score
17,100000008686313100,межбанковские переводы и снятие наличных,"собрал 1.9 млн ₸, дальше ушло лишь 17%; проверить потоки вне выборки",0.7657
18,100000002957306100,межбанковские переводы и снятие наличных,"собрал 398 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.7607
19,100000002957787100,переводы ниже 5 000 ₸ и межбанковские за тот же период,признаки дробления: 71% из 7 входящих переводов от 5 до 10 тыс ₸,0.7442
20,100000005778283100,межбанковские переводы и снятие наличных,"собрал 616 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.7415
21,100000003741418100,межбанковские переводы и снятие наличных,"собрал 152 тыс ₸, дальше ушло лишь 26%; проверить потоки вне выборки",0.7383
22,100000000332284100,переводы ниже 5 000 ₸ и межбанковские за тот же период,признаки дробления: 83% из 12 входящих переводов от 5 до 10 тыс ₸,0.7372
23,100000004962193100,межбанковские переводы и снятие наличных,"собрал 900 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.7358
24,100000002718366100,межбанковские переводы и снятие наличных,"собрал 2.5 млн ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.7321
25,100000008144528100,межбанковские переводы и снятие наличных,"собрал 1.1 млн ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.7208
26,100000008111003100,межбанковские переводы и снятие наличных,"собрал 223 тыс ₸, дальше ушло лишь 16%; проверить потоки вне выборки",0.7155
27,100000006734214100,межбанковские переводы и снятие наличных,"собрал 610 тыс ₸, дальше ушло лишь 6%; проверить потоки вне выборки",0.7105
28,100000008560717100,межбанковские переводы и снятие наличных,"собрал 529 тыс ₸, дальше ушло лишь 5%; проверить потоки вне выборки",0.7089
29,100000008094734100,межбанковские переводы и снятие наличных,"собрал 236 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.7039
30,100000007998965100,межбанковские переводы и снятие наличных,"собрал 278 тыс ₸, дальше ушло лишь 9%; проверить потоки вне выборки",0.7009
31,100000002618492100,межбанковские переводы и снятие наличных,"собрал 296 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.6973
32,100000008546855100,межбанковские переводы и снятие наличных,"собрал 72 тыс ₸, дальше ушло лишь 14%; проверить потоки вне выборки",0.693
33,100000003249054100,межбанковские переводы и снятие наличных,"собрал 100 тыс ₸, дальше ушло лишь 15%; проверить потоки вне выборки",0.6762
34,100000002547110100,межбанковские переводы и снятие наличных,"собрал 1.5 млн ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.668
35,100000006788200100,межбанковские переводы и снятие наличных,"собрал 272 тыс ₸, дальше ушло лишь 24%; проверить потоки вне выборки",0.6676
36,100000001253557100,межбанковские переводы и снятие наличных,"собрал 210 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.6628
37,100000004144536100,межбанковские переводы и снятие наличных,"собрал 168 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.6517
38,100000003134934100,межбанковские переводы и снятие наличных,"собрал 379 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.6446
39,100000001303311100,межбанковские переводы и снятие наличных,"собрал 1.3 млн ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.6441
40,100000004997515100,межбанковские переводы и снятие наличных,"собрал 395 тыс ₸, дальше ушло лишь 14%; проверить потоки вне выборки",0.6438
41,100000002645609100,межбанковские переводы и снятие наличных,"собрал 547 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.643
42,100000001282143100,межбанковские переводы и снятие наличных,"собрал 1.7 млн ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.6361
43,100000001126374100,межбанковские переводы и снятие наличных,"собрал 182 тыс ₸, дальше ушло лишь 16%; проверить потоки вне выборки",0.6338
44,100000005665181100,переводы ниже 5 000 ₸ и межбанковские за тот же период,признаки дробления: 80% из 5 входящих переводов от 5 до 10 тыс ₸,0.6191
45,100000003111305100,межбанковские переводы и снятие наличных,"собрал 509 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.6056
46,100000003157679100,межбанковские переводы и снятие наличных,"собрал 541 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.6002
47,100000002369874100,межбанковские переводы и снятие наличных,"собрал 600 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.5902
48,100000008244300100,межбанковские переводы и снятие наличных,"собрал 65 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.585
49,100000008244300100,переводы ниже 5 000 ₸ и межбанковские за тот же период,признаки дробления: 83% из 6 входящих переводов от 5 до 10 тыс ₸,0.585
50,100000005942793100,межбанковские переводы и снятие наличных,"собрал 55 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.5377
51,100000003684369100,входящие поступления из-за пределов выборки,"seed: отправил 8.6 млн ₸, входящие из-за пределов выборки не видны",0.5373
52,100000002941114100,переводы ниже 5 000 ₸ и межбанковские за тот же период,признаки дробления: 73% из 15 входящих переводов от 5 до 10 тыс ₸,0.5249
53,100000000343175100,входящие поступления из-за пределов выборки,"seed: отправил 4.0 млн ₸, входящие из-за пределов выборки не видны",0.5101
54,100000005767403100,выписка исходящих переводов за июль,"4-е колено: вход 1.1 млн ₸, P(пересылает)=0.33; исходящие не выгружены",0.4997
55,100000002622822100,выписка исходящих переводов за июль,"4-е колено: вход 750 тыс ₸, P(пересылает)=0.21; исходящие не выгружены",0.4961
56,100000002671326100,выписка исходящих переводов за июль,"4-е колено: вход 1.1 млн ₸, P(пересылает)=0.33; исходящие не выгружены",0.488
57,100000002884708100,выписка исходящих переводов за июль,"4-е колено: вход 1.2 млн ₸, P(пересылает)=0.33; исходящие не выгружены",0.4846
58,100000003220685100,выписка исходящих переводов за июль,"4-е колено: вход 1.3 млн ₸, P(пересылает)=0.25; исходящие не выгружены",0.4823
59,100000001669260100,выписка исходящих переводов за июль,"4-е колено: вход 500 тыс ₸, P(пересылает)=0.22; исходящие не выгружены",0.4725
60,100000004041163100,входящие поступления из-за пределов выборки,"seed: отправил 866 тыс ₸, входящие из-за пределов выборки не видны",0.4717
61,100000007330432100,выписка исходящих переводов за июль,"4-е колено: вход 585 тыс ₸, P(пересылает)=0.22; исходящие не выгружены",0.4704
62,100000005042822100,выписка исходящих переводов за июль,"4-е колено: вход 1.0 млн ₸, P(пересылает)=0.21; исходящие не выгружены",0.4675
63,100000008517061100,выписка исходящих переводов за июль,"4-е колено: вход 1.8 млн ₸, P(пересылает)=0.30; исходящие не выгружены",0.4668
64,100000004035925100,выписка исходящих переводов за июль,"4-е колено: вход 1.1 млн ₸, P(пересылает)=0.33; исходящие не выгружены",0.464
65,100000002527114100,входящие поступления из-за пределов выборки,"seed: отправил 3.3 млн ₸, входящие из-за пределов выборки не видны",0.4563
66,100000003692843100,выписка исходящих переводов за июль,"4-е колено: вход 510 тыс ₸, P(пересылает)=0.35; исходящие не выгружены",0.4552
67,100000003016635100,входящие поступления из-за пределов выборки,"seed: отправил 9.4 млн ₸, входящие из-за пределов выборки не видны",0.4529
68,100000002594214100,выписка исходящих переводов за июль,"4-е колено: вход 1.0 млн ₸, P(пересылает)=0.21; исходящие не выгружены",0.4526
69,100000005616568100,выписка исходящих переводов за июль,"4-е колено: вход 530 тыс ₸, P(пересылает)=0.22; исходящие не выгружены",0.4518
70,100000000733940100,выписка исходящих переводов за июль,"4-е колено: вход 752 тыс ₸, P(пересылает)=0.34; исходящие не выгружены",0.4498
71,100000003886323100,переводы ниже 5 000 ₸ и межбанковские за тот же период,признаки дробления: 83% из 6 входящих переводов от 5 до 10 тыс ₸,0.4493
72,100000006866783100,входящие поступления из-за пределов выборки,"seed: отправил 3.9 млн ₸, входящие из-за пределов выборки не видны",0.4473
73,100000005075949100,выписка исходящих переводов за июль,"4-е колено: вход 2.2 млн ₸, P(пересылает)=0.59; исходящие не выгружены",0.4373
74,100000007865484100,выписка исходящих переводов за июль,"4-е колено: вход 585 тыс ₸, P(пересылает)=0.35; исходящие не выгружены",0.4349
75,100000002126791100,выписка исходящих переводов за июль,"4-е колено: вход 1.3 млн ₸, P(пересылает)=0.44; исходящие не выгружены",0.4203
76,100000001957974100,выписка исходящих переводов за июль,"4-е колено: вход 500 тыс ₸, P(пересылает)=0.22; исходящие не выгружены",0.4171
77,100000001131403100,выписка исходящих переводов за июль,"4-е колено: вход 1.6 млн ₸, P(пересылает)=0.44; исходящие не выгружены",0.4158
78,100000003718715100,выписка исходящих переводов за июль,"4-е колено: вход 915 тыс ₸, P(пересылает)=0.45; исходящие не выгружены",0.4157
79,100000008175078100,выписка исходящих переводов за июль,"4-е колено: вход 1.8 млн ₸, P(пересылает)=0.88; исходящие не выгружены",0.4074
80,100000001053894100,выписка исходящих переводов за июль,"4-е колено: вход 2.0 млн ₸, P(пересылает)=0.81; исходящие не выгружены",0.4065
81,100000004586598100,выписка исходящих переводов за июль,"4-е колено: вход 761 тыс ₸, P(пересылает)=0.57; исходящие не выгружены",0.4045
82,100000002686226100,выписка исходящих переводов за июль,"4-е колено: вход 430 тыс ₸, P(пересылает)=0.35; исходящие не выгружены",0.4016
83,100000003989033100,выписка исходящих переводов за июль,"4-е колено: вход 373 тыс ₸, P(пересылает)=0.97; исходящие не выгружены",0.3947
84,100000008637537100,входящие поступления из-за пределов выборки,"seed: отправил 2.4 млн ₸, входящие из-за пределов выборки не видны",0.3917
85,100000001222245100,выписка исходящих переводов за июль,"4-е колено: вход 420 тыс ₸, P(пересылает)=0.68; исходящие не выгружены",0.3916
86,100000003470579100,выписка исходящих переводов за июль,"4-е колено: вход 357 тыс ₸, P(пересылает)=0.36; исходящие не выгружены",0.389
87,100000001471706100,выписка исходящих переводов за июль,"4-е колено: вход 377 тыс ₸, P(пересылает)=0.84; исходящие не выгружены",0.3859
88,100000002860934100,выписка исходящих переводов за июль,"4-е колено: вход 280 тыс ₸, P(пересылает)=0.60; исходящие не выгружены",0.3802
89,100000003985389100,выписка исходящих переводов за июль,"4-е колено: вход 423 тыс ₸, P(пересылает)=0.99; исходящие не выгружены",0.38
90,100000004006327100,выписка исходящих переводов за июль,"4-е колено: вход 300 тыс ₸, P(пересылает)=0.48; исходящие не выгружены",0.3797
91,100000008469048100,выписка исходящих переводов за июль,"4-е колено: вход 265 тыс ₸, P(пересылает)=0.78; исходящие не выгружены",0.3795
92,100000003025903100,выписка исходящих переводов за июль,"4-е колено: вход 386 тыс ₸, P(пересылает)=0.77; исходящие не выгружены",0.379
93,100000008695157100,выписка исходящих переводов за июль,"4-е колено: вход 426 тыс ₸, P(пересылает)=0.47; исходящие не выгружены",0.3786
94,100000006232642100,выписка исходящих переводов за июль,"4-е колено: вход 456 тыс ₸, P(пересылает)=0.59; исходящие не выгружены",0.3738
95,100000004722630100,выписка исходящих переводов за июль,"4-е колено: вход 340 тыс ₸, P(пересылает)=0.36; исходящие не выгружены",0.3699
96,100000003037476100,выписка исходящих переводов за июль,"4-е колено: вход 555 тыс ₸, P(пересылает)=0.52; исходящие не выгружены",0.366
97,100000001378288100,выписка исходящих переводов за июль,"4-е колено: вход 268 тыс ₸, P(пересылает)=0.49; исходящие не выгружены",0.3641
98,100000004071070100,переводы ниже 5 000 ₸ и межбанковские за тот же период,признаки дробления: 80% из 5 входящих переводов от 5 до 10 тыс ₸,0.3638
99,100000008376785100,выписка исходящих переводов за июль,"4-е колено: вход 234 тыс ₸, P(пересылает)=0.37; исходящие не выгружены",0.3622
100,100000001732159100,входящие поступления из-за пределов выборки,"seed: отправил 1.5 млн ₸, входящие из-за пределов выборки не видны",0.3608
101,100000004610802100,выписка исходящих переводов за июль,"4-е колено: вход 241 тыс ₸, P(пересылает)=0.99; исходящие не выгружены",0.3575
102,100000003664994100,выписка исходящих переводов за июль,"4-е колено: вход 338 тыс ₸, P(пересылает)=0.36; исходящие не выгружены",0.3558
103,100000006308406100,выписка исходящих переводов за июль,"4-е колено: вход 183 тыс ₸, P(пересылает)=0.37; исходящие не выгружены",0.3557
104,100000001724740100,выписка исходящих переводов за июль,"4-е колено: вход 185 тыс ₸, P(пересылает)=0.43; исходящие не выгружены",0.3544
105,100000007511780100,выписка исходящих переводов за июль,"4-е колено: вход 155 тыс ₸, P(пересылает)=0.38; исходящие не выгружены",0.3541
106,100000008168850100,выписка исходящих переводов за июль,"4-е колено: вход 188 тыс ₸, P(пересылает)=0.37; исходящие не выгружены",0.3538
107,100000003696422100,выписка исходящих переводов за июль,"4-е колено: вход 118 тыс ₸, P(пересылает)=0.38; исходящие не выгружены",0.3517
108,100000003636627100,переводы ниже 5 000 ₸ и межбанковские за тот же период,признаки дробления: 75% из 8 входящих переводов от 5 до 10 тыс ₸,0.3514
109,100000004200745100,выписка исходящих переводов за июль,"4-е колено: вход 130 тыс ₸, P(пересылает)=0.62; исходящие не выгружены",0.3498
110,100000008551752100,выписка исходящих переводов за июль,"4-е колено: вход 406 тыс ₸, P(пересылает)=0.35; исходящие не выгружены",0.3491
111,100000008722541100,выписка исходящих переводов за июль,"4-е колено: вход 280 тыс ₸, P(пересылает)=0.60; исходящие не выгружены",0.3471
112,100000008190411100,выписка исходящих переводов за июль,"4-е колено: вход 198 тыс ₸, P(пересылает)=0.93; исходящие не выгружены",0.342
113,100000000600707100,выписка исходящих переводов за июль,"4-е колено: вход 89 тыс ₸, P(пересылает)=0.39; исходящие не выгружены",0.3327
114,100000004601193100,выписка исходящих переводов за июль,"4-е колено: вход 84 тыс ₸, P(пересылает)=0.52; исходящие не выгружены",0.3322
115,100000004500781100,выписка исходящих переводов за июль,"4-е колено: вход 74 тыс ₸, P(пересылает)=0.56; исходящие не выгружены",0.3308
116,100000004798515100,выписка исходящих переводов за июль,"4-е колено: вход 200 тыс ₸, P(пересылает)=0.37; исходящие не выгружены",0.3299
117,100000008675322100,выписка исходящих переводов за июль,"4-е колено: вход 340 тыс ₸, P(пересылает)=0.59; исходящие не выгружены",0.3291
118,100000006689603100,выписка исходящих переводов за июль,"4-е колено: вход 400 тыс ₸, P(пересылает)=0.36; исходящие не выгружены",0.3281
119,100000005360814100,выписка исходящих переводов за июль,"4-е колено: вход 144 тыс ₸, P(пересылает)=0.50; исходящие не выгружены",0.3267
120,100000003186579100,выписка исходящих переводов за июль,"4-е колено: вход 110 тыс ₸, P(пересылает)=0.39; исходящие не выгружены",0.3266
121,100000004066370100,выписка исходящих переводов за июль,"4-е колено: вход 65 тыс ₸, P(пересылает)=0.40; исходящие не выгружены",0.3205
122,100000008735802100,выписка исходящих переводов за июль,"4-е колено: вход 85 тыс ₸, P(пересылает)=0.39; исходящие не выгружены",0.3156
123,100000002119762100,выписка исходящих переводов за июль,"4-е колено: вход 77 тыс ₸, P(пересылает)=0.58; исходящие не выгружены",0.313
124,100000007034089100,выписка исходящих переводов за июль,"4-е колено: вход 198 тыс ₸, P(пересылает)=0.35; исходящие не выгружены",0.3103
125,100000003345947100,выписка исходящих переводов за июль,"4-е колено: вход 80 тыс ₸, P(пересылает)=0.40; исходящие не выгружены",0.3098
126,100000003447411100,выписка исходящих переводов за июль,"4-е колено: вход 302 тыс ₸, P(пересылает)=0.48; исходящие не выгружены",0.3089
127,100000008757301100,выписка исходящих переводов за июль,"4-е колено: вход 58 тыс ₸, P(пересылает)=0.53; исходящие не выгружены",0.3026
128,100000002599729100,выписка исходящих переводов за июль,"4-е колено: вход 65 тыс ₸, P(пересылает)=0.40; исходящие не выгружены",0.3013
129,100000003072205100,выписка исходящих переводов за июль,"4-е колено: вход 163 тыс ₸, P(пересылает)=0.36; исходящие не выгружены",0.2996
130,100000002391278100,переводы ниже 5 000 ₸ и межбанковские за тот же период,признаки дробления: 80% из 5 входящих переводов от 5 до 10 тыс ₸,0.2972
131,100000005878334100,выписка исходящих переводов за июль,"4-е колено: вход 76 тыс ₸, P(пересылает)=0.39; исходящие не выгружены",0.297
132,100000007539296100,выписка исходящих переводов за июль,"4-е колено: вход 46 тыс ₸, P(пересылает)=0.41; исходящие не выгружены",0.297
133,100000008571433100,входящие поступления из-за пределов выборки,"seed: отправил 1.4 млн ₸, входящие из-за пределов выборки не видны",0.2949
134,100000008601794100,входящие поступления из-за пределов выборки,"seed: отправил 871 тыс ₸, входящие из-за пределов выборки не видны",0.2935
135,100000007357489100,выписка исходящих переводов за июль,"4-е колено: вход 164 тыс ₸, P(пересылает)=0.36; исходящие не выгружены",0.2933
136,100000008659445100,входящие поступления из-за пределов выборки,"seed: отправил 875 тыс ₸, входящие из-за пределов выборки не видны",0.2921
137,100000002217806100,выписка исходящих переводов за июль,"4-е колено: вход 55 тыс ₸, P(пересылает)=0.40; исходящие не выгружены",0.292
138,100000004652395100,выписка исходящих переводов за июль,"4-е колено: вход 102 тыс ₸, P(пересылает)=0.52; исходящие не выгружены",0.2899
139,100000000580561100,входящие поступления из-за пределов выборки,"seed: отправил 1.5 млн ₸, входящие из-за пределов выборки не видны",0.2896
140,100000007747786100,входящие поступления из-за пределов выборки,"seed: отправил 4.2 млн ₸, входящие из-за пределов выборки не видны",0.2864
141,100000002516862100,выписка исходящих переводов за июль,"4-е колено: вход 82 тыс ₸, P(пересылает)=0.56; исходящие не выгружены",0.2856
142,100000006756956100,выписка исходящих переводов за июль,"4-е колено: вход 121 тыс ₸, P(пересылает)=0.75; исходящие не выгружены",0.2786
143,100000008680731100,входящие поступления из-за пределов выборки,"seed: отправил 1.5 млн ₸, входящие из-за пределов выборки не видны",0.2777
144,100000003977183100,входящие поступления из-за пределов выборки,"seed: отправил 766 тыс ₸, входящие из-за пределов выборки не видны",0.2773
145,100000005049404100,выписка исходящих переводов за июль,"4-е колено: вход 98 тыс ₸, P(пересылает)=0.39; исходящие не выгружены",0.2736
146,100000000557536100,выписка исходящих переводов за июль,"4-е колено: вход 153 тыс ₸, P(пересылает)=0.79; исходящие не выгружены",0.273
147,100000008050986100,выписка исходящих переводов за июль,"4-е колено: вход 95 тыс ₸, P(пересылает)=0.39; исходящие не выгружены",0.2709
148,100000005498992100,входящие поступления из-за пределов выборки,"seed: отправил 2.3 млн ₸, входящие из-за пределов выборки не видны",0.27
149,100000002487222100,выписка исходящих переводов за июль,"4-е колено: вход 90 тыс ₸, P(пересылает)=0.39; исходящие не выгружены",0.2656
150,100000006490615100,выписка исходящих переводов за июль,"4-е колено: вход 42 тыс ₸, P(пересылает)=0.75; исходящие не выгружены",0.2646
151,100000006490615100,переводы ниже 5 000 ₸ и межбанковские за тот же период,признаки дробления: 83% из 6 входящих переводов от 5 до 10 тыс ₸,0.2646
152,100000000634341100,выписка исходящих переводов за июль,"4-е колено: вход 24 тыс ₸, P(пересылает)=0.42; исходящие не выгружены",0.2612
153,100000003486846100,выписка исходящих переводов за июль,"4-е колено: вход 27 тыс ₸, P(пересылает)=0.42; исходящие не выгружены",0.2611
154,100000004261340100,выписка исходящих переводов за июль,"4-е колено: вход 48 тыс ₸, P(пересылает)=0.64; исходящие не выгружены",0.2595
155,100000004991593100,выписка исходящих переводов за июль,"4-е колено: вход 45 тыс ₸, P(пересылает)=0.41; исходящие не выгружены",0.257
156,100000006706519100,выписка исходящих переводов за июль,"4-е колено: вход 36 тыс ₸, P(пересылает)=0.54; исходящие не выгружены",0.2563
157,100000004358004100,входящие поступления из-за пределов выборки,"seed: отправил 981 тыс ₸, входящие из-за пределов выборки не видны",0.2562
158,100000008583971100,выписка исходящих переводов за июль,"4-е колено: вход 51 тыс ₸, P(пересылает)=0.47; исходящие не выгружены",0.2525
159,100000001270470100,выписка исходящих переводов за июль,"4-е колено: вход 28 тыс ₸, P(пересылает)=0.42; исходящие не выгружены",0.2497
160,100000005497148100,выписка исходящих переводов за июль,"4-е колено: вход 24 тыс ₸, P(пересылает)=0.42; исходящие не выгружены",0.2465
161,100000002723439100,выписка исходящих переводов за июль,"4-е колено: вход 18 тыс ₸, P(пересылает)=0.43; исходящие не выгружены",0.2459
162,100000006512787100,выписка исходящих переводов за июль,"4-е колено: вход 20 тыс ₸, P(пересылает)=0.43; исходящие не выгружены",0.2411
163,100000008331280100,выписка исходящих переводов за июль,"4-е колено: вход 41 тыс ₸, P(пересылает)=0.41; исходящие не выгружены",0.2345
164,100000005849862100,выписка исходящих переводов за июль,"4-е колено: вход 13 тыс ₸, P(пересылает)=0.44; исходящие не выгружены",0.2288
165,100000003230328100,выписка исходящих переводов за июль,"4-е колено: вход 27 тыс ₸, P(пересылает)=0.68; исходящие не выгружены",0.2264
166,100000008680061100,выписка исходящих переводов за июль,"4-е колено: вход 41 тыс ₸, P(пересылает)=0.41; исходящие не выгружены",0.2259
167,100000007988344100,выписка исходящих переводов за июль,"4-е колено: вход 20 тыс ₸, P(пересылает)=0.55; исходящие не выгружены",0.2219
168,100000001065481100,выписка исходящих переводов за июль,"4-е колено: вход 16 тыс ₸, P(пересылает)=0.43; исходящие не выгружены",0.2192
169,100000003173783100,выписка исходящих переводов за июль,"4-е колено: вход 24 тыс ₸, P(пересылает)=0.43; исходящие не выгружены",0.2185
170,100000008349740100,выписка исходящих переводов за июль,"4-е колено: вход 70 тыс ₸, P(пересылает)=0.40; исходящие не выгружены",0.214
171,100000000655469100,выписка исходящих переводов за июль,"4-е колено: вход 20 тыс ₸, P(пересылает)=0.43; исходящие не выгружены",0.2098
172,100000003177533100,выписка исходящих переводов за июль,"4-е колено: вход 20 тыс ₸, P(пересылает)=0.38; исходящие не выгружены",0.2067
173,100000001202787100,выписка исходящих переводов за июль,"4-е колено: вход 15 тыс ₸, P(пересылает)=0.50; исходящие не выгружены",0.1909
174,100000006288612100,выписка исходящих переводов за июль,"4-е колено: вход 31 тыс ₸, P(пересылает)=0.54; исходящие не выгружены",0.189
175,100000006918814100,выписка исходящих переводов за июль,"4-е колено: вход 20 тыс ₸, P(пересылает)=0.43; исходящие не выгружены",0.1775
176,100000003078839100,выписка исходящих переводов за июль,"4-е колено: вход 14 тыс ₸, P(пересылает)=0.44; исходящие не выгружены",0.1732
177,100000007982728100,входящие поступления из-за пределов выборки,"seed: отправил 1.8 млн ₸, входящие из-за пределов выборки не видны",0.1675
178,100000004269433100,входящие поступления из-за пределов выборки,"seed: отправил 1.4 млн ₸, входящие из-за пределов выборки не видны",0.1652
179,100000004911971100,выписка исходящих переводов за июль,"4-е колено: вход 35 тыс ₸, P(пересылает)=0.45; исходящие не выгружены",0.1578
180,100000006491963100,выписка исходящих переводов за июль,"4-е колено: вход 16 тыс ₸, P(пересылает)=0.56; исходящие не выгружены",0.1414
181,100000006412162100,выписка исходящих переводов за июль,"4-е колено: вход 15 тыс ₸, P(пересылает)=0.35; исходящие не выгружены",0.1348
182,100000004616845100,выписка исходящих переводов за июль,"4-е колено: вход 20 тыс ₸, P(пересылает)=0.43; исходящие не выгружены",0.1266
183,100000002999140100,выписка исходящих переводов за июль,"4-е колено: вход 10 тыс ₸, P(пересылает)=0.45; исходящие не выгружены",0.0998
184,100000002707106100,выписка исходящих переводов за июль,"4-е колено: вход 15 тыс ₸, P(пересылает)=0.44; исходящие не выгружены",0.094
