cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,roles,lead_gid
43,3,1,450000.0,100000000769919100;100000002371751100;100000007018630100,гипотеза: локальные переводы вокруг 1 seed без выраженной структуры,terminal:1,100000000769919100
37,6,1,383300.0,100000004094958100;100000004331458100;100000005363908100;100000005547096100;100000005546031100,гипотеза: транзитная цепочка из 2 счетов,"transit:2, terminal:1",100000004094958100
36,6,1,275885.0,100000005895525100;100000002462183100;100000007175718100;100000005056870100;100000005807278100,гипотеза: локальные переводы вокруг 1 seed без выраженной структуры,terminal:2,100000005895525100
46,2,1,81465.0,100000003865939100;100000005392290100,гипотеза: локальные переводы вокруг 1 seed без выраженной структуры,,100000003865939100
42,4,1,79050.0,100000003148220100;100000006888238100;100000001852140100;100000004971871100,гипотеза: локальные переводы вокруг 1 seed без выраженной структуры,,100000003148220100
45,2,1,30000.0,100000003980083100;100000003200071100,гипотеза: локальные переводы вокруг 1 seed без выраженной структуры,,100000003980083100
47,1,1,0.0,100000000456947100,изолированный узел без связей в выгрузке,,100000000456947100
48,1,1,0.0,100000003265658100,изолированный узел без связей в выгрузке,,100000003265658100
49,1,1,0.0,100000003349739100,изолированный узел без связей в выгрузке,,100000003349739100
50,1,1,0.0,100000003770083100,изолированный узел без связей в выгрузке,,100000003770083100
51,1,1,0.0,100000004021459100,изолированный узел без связей в выгрузке,,100000004021459100
52,1,1,0.0,100000004174835100,изолированный узел без связей в выгрузке,,100000004174835100
53,1,1,0.0,100000005017150100,изолированный узел без связей в выгрузке,,100000005017150100
54,1,1,0.0,100000005087431100,изолированный узел без связей в выгрузке,,100000005087431100
55,1,1,0.0,100000005235389100,изолированный узел без связей в выгрузке,,100000005235389100
56,1,1,0.0,100000005480435100,изолированный узел без связей в выгрузке,,100000005480435100
57,1,1,0.0,100000005495722100,изолированный узел без связей в выгрузке,,100000005495722100
58,1,1,0.0,100000005550592100,изолированный узел без связей в выгрузке,,100000005550592100
59,1,1,0.0,100000005560900100,изолированный узел без связей в выгрузке,,100000005560900100
60,1,1,0.0,100000005568407100,изолированный узел без связей в выгрузке,,100000005568407100
61,1,1,0.0,100000008117324100,изолированный узел без связей в выгрузке,,100000008117324100
62,1,1,0.0,100000008205000100,изолированный узел без связей в выгрузке,,100000008205000100
63,1,1,0.0,100000008513251100,изолированный узел без связей в выгрузке,,100000008513251100
64,1,1,0.0,100000008669037100,изолированный узел без связей в выгрузке,,100000008669037100
65,1,1,0.0,100000008701222100,изолированный узел без связей в выгрузке,,100000008701222100
5,124,0,29444929.91,100000000331309100;100000008324800100;100000001611488100;100000001330685100;100000008011159100,гипотеза: веерная рассылка от 100000000331309100 на 99 получателей (выплаты/дробление),"terminal:43, transit:3, distributor:1",100000000331309100
3,176,0,20142145.0,100000008477350100;100000008603629100;100000004299488100;100000007055802100;100000000437046100,гипотеза: веерная рассылка от 100000008477350100 на 39 получателей (выплаты/дробление),"terminal:30, consolidator:11, distributor:5, transit:4",100000008477350100
8,106,0,14430812.51,100000004159526100;100000005933757100;100000005704413100;100000005578559100;100000002605308100,гипотеза: веерная рассылка от 100000005933757100 на 34 получателей (выплаты/дробление),"terminal:13, distributor:3, consolidator:1, transit:1",100000004159526100
9,81,0,11363560.0,100000005242320100;100000007998965100;100000006707582100;100000008460102100;100000001584286100,гипотеза: веерная рассылка от 100000005242320100 на 21 получателей (выплаты/дробление),"terminal:24, distributor:3, transit:1, consolidator:1",100000005242320100
14,59,0,7326997.19,100000006734214100;100000003242289100;100000008512552100;100000008413748100;100000004351795100,гипотеза: веерная рассылка от 100000003242289100 на 23 получателей (выплаты/дробление),"terminal:8, distributor:3, consolidator:2",100000006734214100
25,13,0,6748650.0,100000007442518100;100000008258083100;100000000673868100;100000000821507100;100000002911170100,"гипотеза: периферия дальних колен, связь с seed косвенная","terminal:7, consolidator:1",100000007442518100
7,120,0,4465650.0,100000002578405100;100000002214383100;100000008493007100;100000004292885100;100000008778010100,гипотеза: веерная рассылка от 100000002578405100 на 116 получателей (выплаты/дробление),"terminal:2, distributor:1, transit:1",100000002578405100
26,11,0,3784703.0,100000003004487100;100000002175422100;100000002710570100;100000003557488100;100000005042822100,"гипотеза: периферия дальних колен, связь с seed косвенная","terminal:4, consolidator:1",100000003004487100
23,15,0,3626010.0,100000006704530100;100000008461532100;100000000791285100;100000003122817100;100000002691583100,"гипотеза: периферия дальних колен, связь с seed косвенная","terminal:3, transit:1",100000006704530100
20,18,0,3422800.0,100000003701161100;100000002267998100;100000003718221100;100000008137435100;100000003104347100,"гипотеза: периферия дальних колен, связь с seed косвенная","terminal:3, consolidator:1",100000003701161100
17,24,0,3340669.0,100000005519998100;100000004336312100;100000007382543100;100000008213966100;100000004017410100,гипотеза: транзитная цепочка из 2 счетов,"transit:2, terminal:1",100000005519998100
19,21,0,2845718.0,100000003854444100;100000001690558100;100000002799941100;100000008647905100;100000008676812100,гипотеза: веерная рассылка от 100000003854444100 на 14 получателей (выплаты/дробление),"terminal:7, distributor:1, transit:1",100000003854444100
34,6,0,2540000.0,100000004479404100;100000004717647100;100000002922000100;100000002659103100;100000001533161100,"гипотеза: периферия дальних колен, связь с seed косвенная",terminal:3,100000004479404100
27,11,0,1868224.0,100000002671326100;100000008603331100;100000002032323100;100000008190411100;100000004715209100,"гипотеза: периферия дальних колен, связь с seed косвенная",terminal:1,100000002671326100
30,7,0,1765600.0,100000007865484100;100000003631015100;100000004976946100;100000005745873100;100000008551752100,"гипотеза: периферия дальних колен, связь с seed косвенная",terminal:4,100000007865484100
28,10,0,1260500.0,100000005074393100;100000006424479100;100000000375150100;100000003270419100;100000000733451100,"гипотеза: периферия дальних колен, связь с seed косвенная","terminal:2, consolidator:1",100000005074393100
38,5,0,1189154.0,100000000291906100;100000004670388100;100000000291908100;100000004722630100;100000004691350100,"гипотеза: периферия дальних колен, связь с seed косвенная",transit:1,100000000291906100
22,15,0,850450.0,100000001526235100;100000002472632100;100000005505655100;100000001788284100;100000007811950100,"гипотеза: периферия дальних колен, связь с seed косвенная",,100000001526235100
29,10,0,603900.0,100000003635170100;100000004209339100;100000003321423100;100000002156381100;100000008501413100,гипотеза: транзитная цепочка из 2 счетов,"transit:2, terminal:1",100000003635170100
31,6,0,115500.0,100000002575080100;100000000076451100;100000007131370100;100000002832753100;100000004629688100,гипотеза: транзитная цепочка из 2 счетов,transit:2,100000002575080100
